Publication Date,Title,Acronym,Venue,PLMs,Tasks,Research Direction,Addressed Challenges,Limitations,Work Contribution 
2024-04-09,Affective Prompt-Tuning-Based Language Model for Semantic Based Emotional Text Generation ,APT-LM,IJDWM,GPT-2-Medium,Classification,"Compared with the baseline model, their model shows significant enhancement in emotional text generation in both automatic and human evaluation, while maintaining competitiveness in sentence fluency and diversity. ","The large language models based on transformers have shown strong text generation ability. However, due to the need for significant computing resources, little work has been done to generate emotional text using these models.",--,Soft Prompting in framework
2023-08-06,APICom: Automatic API Completion via Prompt Learning and Adversarial Training-based Data Augmentation,APICom,ACM Internetware,CodeT5,Recommendation Systems,"They propose a novel API completion approach APICom with prompt learning and adversarial training-based data augmentation. Specifically, APICom trains the API completion model through API prompts and adversarial examples generated by our designed method ATCom in the embedding layer.","Previous studies mainly modeled API recommendation as the recommendation task, which can recommend multiple candidate APIs for the given query, and developers may not yet be able to find what they need. Motivated by the neural machine translation research domain, we can model this problem as the generation task, which aims to directly generate the required API for the developer query.","The first external threat is related to the quality of our constructed corpus. To alleviate this threat, they use the experimental subject shared by the dataset creators, which can guarantee the generalization of our empirical findings. The second threat is they only use the mentioned dataset which only supports Java programming language.",Hard prompting in framework
2024-11-01,Application of Prompt Learning Models in Identifying the Collaborative Problem Solving Skills in an Online Task,--,CSCW,"T5, BERT, RoBERTa, GPT-2",Classification,Improving automatic coding accuracy with low-resource datasets,Improving classification accuracy for collaborative problem-solving behavioral coding,"High data preprocessing requirements, lack of context consideration in classification","Introduces a prompt-based learning pre-trained model for CPS coding, compares with other methods, and demonstrates improved performance on small datasets"
2022-12-11,ATTEMPT: Parameter-Efficient Multi-task Tuning via Attentional Mixtures of Soft Prompts,ATTEMPT,EMNLP,T5,"Paraphrase Detection, Sentiment Analysis, QA, Commonsense Reasoning","Improving existing methods of multitask prompt tuning with a great trade off between task performance and efficienty, introducing an interpretable and modular task transfer.","Developing a system that allows for flexible integration of knowledge from different tasks, providing the understanding the underlying task similarities and how knowledge is transferred across tasks.","ATTEMPT, being based on prompt tuning, increases the input token length, leading to increased memory footprint and computational cost.","ATTEMPT achieves a strong balance between task performance and efficiency, outperforming existing prompt tuning methods and matching or exceeding the performance of fully fine-tuned models or other parameter-efficient methods that update significantly more parameters. It offers a modular and interpretable approach to multi-task transfer learning."
2023-05-15,Automating Method Naming with Context-Aware Prompt-Tuning,AUMENA,IEEE/ACM ICPC,CodeT5,Method Name Recommendation,"Propose AUMENA, an automated prompting method with context-aware prompts tuning. It first learns the contextualized representation(i.e., class attributes) of programming language and natural language
through the pre-training model, then fully exploits the capacity and knowledge of large language model with prompt-tuning to precisely detect inconsistent method names and recommend more accurate names. To better identify semantically consistent names, they model the method name consistency checking task as a two-class classification problem and employed an hard negative sampling method for trainingF.","Despite the promise of many automated approaches, results are still suboptimal due to: (1) the models are trained from scratch, learning two different objectives simoultaneously. (2) The enclosing class context is not fully exploited, making it difficult to learn the abstract functionality of the method. (3) Current method name consistency checking methods follow a generate-then-compare process, which restricts the accuracy as they highly rely on the quality of generated names and face difficulty measuring the semantic consistency.","Following prior studies they constructed experiments on the same datasets and, since individual knowledge varies, there is no guarantee that all method names are good enough. Also, engineers could keep their own points of view on the same naming work. Therefore, the dataset may still contain sub-optimal method names, and it can affect both the evaluations of method name recommendation and method name consistency checking tasks. Also, this approach is java limited",Discrete prompt in knowledge enhanced framework
2024-05-17,Can we Soft Prompt LLMs for Graph Learning Tasks?,GraphPrompter,WWW,LLAMA2-7B,"Node Classification, Link Prediction","They presents GraphPrompter, a novel plug-and-play framework that integrates the capabilities of Large Language Models with the structural insights of Graph Neural Networks for the task of node classification and link prediction in graph data.",Directly applying LLMs to graph modalities presents unique challenges due to the discrepancy and mismatch between the graph and text modalities,--,Soft Prompting in framework
2022-09-08,Chemical-Protein Relation Extraction with Pre-trained Prompt Tuning,--,IEEE ICHI ,"BERT, BioBERT, BlueBERT",Relation Extraction,Applying prompt tuning to improve the efficiency of pre-trained language models in biomedical relation extraction tasks,"Improving the accuracy of relation extraction, managing complex entity names",Focuses only on chemical-protein relations,Demonstrates that pre-trained prompt tuning outperforms fine-tuned PLMs in chemical-protein relation extraction
2022-06-01,Chinese Spam Detection Based on Prompt Tuning,--,SEKE ,ERNIE,Spam Detection,"Application of prompt tuning to spam detection, specifically Chinese spam emails, with an exploration of template construction.",Effective detection of disguised spam emails.,Reliance on manually designed prompt templates; future work aims to explore automatic or learnable templates.,Developed a Chinese spam detection model using ERNIE and prompt tuning.
2023-08-11,Clinical Prompt Learning With Frozen Language Models,--,IEEE Transactions on Neural Networks and Learning Systems,--,--,They investigated the viability of prompt learning on clinically meaningful decision tasks and directly compared this with more traditional finetuning methods. ,"More recent work suggests that for some tasks, directly prompting the pretrained model matches or surpasses fine-tuning in performance with few or no model parameter updates required. ","BioClinicalBERT was pretrained on MIMIC-III itself, which may in turn have made the tasks easier or inflated the evaluation performance, especially for the prompt learning approach. Task Performance Variance.",Implementation of various prompt learning methods and verbalizers for specific downstreamtask 
2022-12-07,Coherent Long Text Generation by Contrastive Soft Prompt,CSP,GEM,GPT-2,Text Generation,"Improving coherence in long text generation, especially by tackling the difficulties in planning the text generation at the semantic level and in leveraging incoherent texts during training.",Generating logical and coherent sentence sequences in long texts.,"The model still generates some incoherent texts. Addressing issues of repetitive plots, unrelated events, and conflicting logic in text generation. Leveraging the role of negative samples, particularly hard negative samples, in model training.",Proposing a novel generative model named CSP to improve coherence in long text generation
2022-02-19,Commonsense Knowledge-Aware Prompt Tuning for Few-Shot NOTA Relation Classification,CKPT,Applied Sciences,BERT,Relation Classification,Improving few-shot learning by leveraging commonsense knowledge and prompt tuning,Classifying instances that do not belong to any target categories in few-shot learning scenarios,"Current prompt tuning methods are handcrafted and straightforward, hinting at a need for more automated approaches.","Introduction of CKPT, development of a learned scoring strategy, and experiments demonstrating the effectiveness of the method"
2023-08-30,ConKgPrompt: Contrastive Sample Method Based on Knowledge-Guided Prompt Learning for Text Classification,ConKgPrompt,Electronics (Switzerland),ERNIE 3.0,Classification,"ConKgPrompt utilizes external knowledge bases for multi-granularity construction of verbalizers and refines the verbalizer based on Word2vec and similarity. Experimental results and visual analyses indicate that the ConKgPrompt method achieves better classification performance than previous studies, particularly in the few-shot settings, and outperforms existing prompt-tuning methods, demonstrating the robustness and effectiveness of ConKgPrompt.","Currently, prompt learning methods can bring state of the art (SOTA) performance to pre-trained language models (PLMs) in text classification and transform a classification problem into a masked language modeling problem. The crucial step of prompt learning is to construct a map between original labels and the label extension words. However, most mapping construction methods consider only labels themselves; relying solely on a label is not sufficient to achieve accurate prediction of mask tokens, especially in classification tasks where semantic features and label words are highly interrelated. Therefore, the accurate prediction of mask tokens requires one to consider additional factors beyond just label words. ","Datasets featuring limited data or intricate semantics showcase higher variance. This disparity underscores the susceptibility of ConKgPrompt to diverse dataset attributes, implying that there is indeed scope for further enhancement.",Hard prompting in framework with external knowledge to enhance the verbalizer.
2024-04-19,ConsPrompt: Exploiting Contrastive Samples for Fewshot Prompt Learning,ConsPrompt,ICASSP,RoBERTa-large ,"Classification, Text Entailment","The ConsPrompt integrating prompting encoding network, Contrastive sampling module and contrastive scoring module, is able to realize multiple learning and alleviate the over-fit problem in prompt design.","Prompt has become an effective linguistic tool for utilizing pre-trained language models. However, in few-shot scenarios, subtle changes of prompt’s design always make the result widely different, and the prompt learning methods are also easy to overfit the limited samples.",--,Enhancing hard prompts performance with contrastive learning techniques.
2022-05-22,Continual Prompt Tuning for Dialog State Tracking,Continual PT,ACL,T5,Dialog State Tracking," Enhancing continual learning for dialog systems, efficient knowledge transfer between tasks","Catastrophic forgetting in continual learning, efficiency in memory and computation",--,Development of Continual Prompt Tuning
2022-11-04,Continuous Prompt Tuning Based Textual Entailment Model for E-commerce Entity Typing,CTM,IEEE  Big Data,"BERT, CharacterBERT",Entity Typing,Enhancing flexibility in entity typing and adapting to domain-specific language styles.,Handling new entities absent during training and managing unique linguistic styles of e-commerce product titles.,--,"Reformulating entity typing as a textual entailment task to handle unseen entities.
Applying continuous prompt tuning to generate optimized hypotheses.
Using fusion embeddings to address unique language styles in product titles."
2023-12-11,Contrastive Graph Prompt-tuning for Cross-domain Recommendation,PGPRec,ACM Transactions on Information Systems,LightGCN,Recommendation Systems,Their results on four cross-domain datasets showed that PGPRec efficiently leverages the prompt-tuning along with the state-of-the-art graph recommenders and achieves a competitive performance compared with the strongest baseline (SGLPT ),"Recommender systems commonly suffer from the long-standing data sparsity problem where insufficient user-item interaction data limits the systems’ ability to make accurate recommendations. This problem can
be alleviated using cross-domain recommendation techniques.  While recent crossdomain recommendation techniques used a pre-training configuration, they argue that such techniques lead to
a low fine-tuning efficiency, especially when using large neural models.",--,Hard/Soft Prompting in framework (a model-agnostic framework)
2023-09-02,ContrastNER: Contrastive-based Prompt Tuning for Few-shot NER,ContrastNER,IEEE COMPSAC,RoBERTa ,NER,"ContrastNER, a prompt-based learning framework for few-shot NER, proposes an hybrid prompt tuning to improve upon manual prompt engineering and employ a contrastive learning-based loss to unify what the prompt is learning to the verbalizer.","The strong performance of most available NER approaches is heavily dependent on the design of discrete prompts and a verbalizer to map the model-predicted outputs to entity categories, which are complicated undertakings. ",--,Hybrid prompting and verbalizers construction in framework
2022-07-01,CUP: Curriculum Learning based Prompt Tuning for Implicit Event Argument Extraction,CUP,IJCAI,BART,Argument Extraction,Enhancing implicit event argument extraction by leveraging curriculum learning and prompt tuning,Capturing long-range dependencies between arguments and triggers. Handling low-data scenarios.,--,Proposed a novel approach for implicit EAE using curriculum learning and prompt tuning
2023-04-28,Decomposed Two-Stage Prompt Learning for Few-Shot Named Entity Recognition,--,Information (Switzerland),BERT-base-cased,NER,"The proposed framework comprises an entity locating model that predicts the entity span and an entity typing model that uses prompt learning to recognize the type of predicted span using a concise yet effective prompt template. Their approach offers a promising solution to address the time-consuming problem associated with NER tasks, and the experimental results demonstrate its effectiveness.","Although prompt learning has been successfully applied in few-shot classification tasks, adapting to token-level classification similar to the NER task presents challenges in terms of time consumption and efficiency. ",--,Discrete promting in framework
2021-11-07,Discrete and Soft Prompting for Multilingual Models,--,EMNLP,XLM-RoBERTa-base,Multilingual NLI,Investigating the effectiveness of discrete and soft prompting in few-shot multilingual tasks,Improving few-shot learning performance in multilingual settings and assessing crosslingual transfer,Slightly worse performance in languages with limited pretraining data and reliance on machine-translated few-shot datasets,Systematic comparison of prompting methods versus fine-tuning for multilingual NLI tasks; proposing and evaluating mixed prompting
2022-12-11,DisCup: Discriminator Cooperative Unlikelihood Prompt-tuning for Controllable Text Generation,DisCup,EMNLP,"GPT2-large, GPT2-small",Text Generation, Improving attribute-controllable text generation while preserving text quality and reducing computational costs.,Generalization issues in vanilla prompt tuning. Lack of interpretability in control attributes. Efficient and high-quality generation with minimal computational overhead.,Limited application to fine-grained control tasks like Table-to-Text generation,Introduced unlikelihood training for better prompt optimization. Improved control performance and inference speed. Provided an alternative paradigm combining prompt-tuning and decode-time methods.
2024-01-09,Domain-Enhanced Prompt Learning for Chinese Implicit Hate Speech Detection,DePL,IEEE Access,BERT-base,Classification,"The model excelled in domain adaptability and detecting nuanced hate speech, outperforming established baselines. The work underscores the utility of domain features, as evidenced by a drop in performance when these are excluded, highlighting their integral role in model effectiveness.","In hate speech detection, previous efforts almost focused on English, leading to a notable scarcity of datasets for Hate Speech Detection in Chinese. Even more, two emerging forms of hate speech under stringent regulatory environments: 1) domain specificity, manifesting itself as nuanced and harder-to-detect proprietary aggressive rhetoric within various domains; and 2) implicitness, characterized by indirect, abstract and ambiguous cold language. This evolution presents additional complexities for Multi-domain Implicit Hate Speech Detection in Chinese.",--,Hybrid prompting in framework
2022-05-27,Dual Context-Guided Continuous Prompt Tuning for Few-Shot Learning,DCCP,ACL,RoBERTa-large,"Sentiment Analysis, Subjective Analysis, NLI, Paraphrase Detection",Improving continuous prompt tuning in few-shot learning settings.,"The paper addresses the challenges of tuning continuous prompts with only a few samples, averting dependency on hand-craft engineering and large validation samples.",--,Proposes a novel continuous prompt tuning method called DCCP that improves the performance of language models in few-shot settings.
2023-07-14,Emotion Classification on Code-mixed Text Messages via Soft Prompt Tuning,--,WASSA ,XLM-RoBERTa,Emotion Classification,"They propose prompt-tuning for emotion classification on code-mixed text messages. First they transform emoticons into textual information, then they apply a variety of templates and verbalizers to verify effectness.","Emotion classification on code-mixed text messages is challenging due to the multilingual languages and non-literal cues (i.e., emoticons)._x000D_",Most outputs from their method have only one category,discrete/continuous prompt and verbalizer in framework
2024-06-01,Enhancing Cross-Lingual Sarcasm Detection by a Prompt Learning Framework with Data Augmentation and Contrastive Learning,PDC,Electronics (Switzerland),XLM-RoBERTa ,Sarcasm Detection,They propose a framework named PDC and based on prompt learning that combines data augmentation and contrastive learning for cross-lingual sarcasm detection.,"In sarcasm, it is challenging to discern the genuine feelings behind the words. Most research mainly focuses on sarcastic texts in English, as other languages lack corpora and annotated datasets. To address the challenge of low-resource languages in sarcasm detection tasks, a zero-shot cross-lingual transfer learning method is proposed in this paper. ",The diverse forms of sarcasm make it difficult to capture some sarcastic expressions. This paper focused on knowledge transfer from English to Chinese and has not yet explored its effectiveness in other languages.,Hard prompting in framework
2022-07-01,Enhancing Entity Representations with Prompt Learning for Biomedical Entity Linking,--,IJCAI,"SAPBERT, PubMedBERT",Biomedical Entity Linking,Enhancing entity representations for improved biomedical entity linking,Variety and ambiguity in biomedical entity linking,--,Proposed a two-stage algorithm for addressing variety and ambiguity challenges; demonstrated effectiveness of prompt-tuning strategy
2024-04-11,Enhancing Zero-Shot Stance Detection with Contrastive and Prompt Learning,EZSD-CP,Entropy,"BERT-base, RoBERTa",Stance Detection,Proposed an instance-guided prompt learning method.,"Stance Detection necessitates models with robust generalization abilities to discern target-related, transferable stance features within training data. Such methods typically employ a uniform prompt pattern across all instances, yet they overlook the intricate relationship between prompts and instances, thereby failing to sufficiently direct the model towards learning task-relevant knowledge and information.",--,Soft Prompting in framework
2023-07-09,ETHICIST: Targeted Training Data Extraction Through Loss Smoothed Soft Prompting and Calibrated Confidence Estimation,ETHICIST,ACL ,GPT-Neo 1.3B,Data extraction,"They propose ETHICIST, a method for targeted training data extraction attack. It uses soft prompts to elicit memorization in the attacked model with a smoothing loss and a calibrated confidance estimation to calibrate the scale of confidence across different samples.","PLMs have been shown to memorize a considerable fraction of their training data, leading to the privacy risk of information leackage. They aim to investigate how to recover the suffix in the data when given a suffix.","Although we conduct experiments across various model scales ranging from 125M to 6B, there are still larger language models we don’t test either because their training data is not publicly released
or because we have limited resources. Moreover, the examples in the LM-Extraction benchmark are all chosen to meet the property that there exists a prefix length (maybe longer than 50)
that causes the model to generate the suffix string exactly, which makes the extraction performance on this benchmark higher than that on randomly selected prefixes.",Continus prompt in framework
2023-06-04,Exploiting Prompt Learning with Pre-Trained Language Models for Alzheimer's Disease Detection,--,ICASSP ,"BERT, RoBERTa",Disease Detection,By incorporating disfluency features based on pause filler token frequencies into the prompt and exploiting multiple models and training strategis to perform decision voting showed promesing results,PLM domain fine-tuning is commonly based on the masked word or sentence prediction costs that are inconsistent with the back-end AD detection task.,--,Discrete prompt in framework
2024-07-18,Exploring Universal Intrinsic Task Subspace for Few-Shot Learning via Prompt Tuning,--,IEEE/ACM Transactions on Audio Speech and Language Processing,--,--,"They studied the hypothesis that PLM adaptations to various tasks can be reparameterized as optimizations within a unified low-dimensional intrinsic task subspace. They developed an analysis tool IPT. It first finds a subspace by jointly decomposing the adaptive parameters of multiple tasks and then tunes parameters within the subspace for unseen data and tasks. In experiments, they study diverse few-shot NLP tasks and demonstrate that the found subspaces contain good solutions for PLM adaptations, which is strong evidence for their hypothesis.",Why can pre-trained language models (PLMs) learn universal representations and effectively adapt to broad NLP tasks differing a lot superficially? ,"The effectiveness of IPT could still be improved, especially at low dimensions. A very in depth analysis is present in their What limits IPS? section.",Study
2023-06-04,FedPrompt: Communication-Efficient and Privacy-Preserving Prompt Tuning in Federated Learning,FedPrompt,ICASSP ,"BERT-base, RoBERTa, T5","Sentiment Analysis, Toxicity Detection, Spam Detection, Classification","FedPrompt use federated prompt tuning on decentralized data in a communication-efficient and privacy-preserving way. They employ a split aggregation method that freezing extensive PLMs parameters and only tuning and aggregating soft prompts. In this way we condense the communication costs to only 0.01% compared to PLMs, making many devices applicable for scenarios with communication constraints.",PLMs in federate learning tasks there are considerable comunication costs. The idea is to combine prompt learning with FL to explore the effects,--,Continuous prompt in framework for FL
2023-07-25,Few-shot Sentiment Analysis Based on Adaptive Prompt Learning and Contrastive Learning,APRD,Information Technology and Control,ALBERT-large,Sentiment Analysis,They propose a new sentiment analysis method by the combination of adaptive prompt learning and contrastive learning,"Although prompt-based learning has the potential to address data scarcity problems by utilizing prompts to reformulate downstream tasks, the current prompt-based methods for few-shot sentiment analysis are still considered inefficient.","the model performs well only on largescale datasets, as the dot-product attention structure fails to learn the adaptive prompt and the embedded representation in the pre-trained model simultaneously, leading to over-fitting.",Hard/Soft/Hybrid Prompting in framework
2023-08-22,Generating Chinese Event Extraction Method Based on ChatGPT and Prompt Learning,CPEE,Applied Sciences (Switzerland),BART,Event Detection,"This paper proposes a generative event extraction model CPEE based on ChatGPT and prompt learning with event extraction as the research object. The model extends and improves existing methods in two aspects: data augmentation and input construction. Firstly, it utilize ChatGPT to generate a labelled dataset for event extraction tasks and trains the model using supervised learning methods adapted to downstream tasks. Secondly, they proposes the construction of generative input templates and explicitly adds entity markers within the templates.","Regarding the scarcity of annotated data for existing event extraction tasks and the insufficient semantic mining of event extraction models in the Chinese domain, this paper proposes a generative joint event extraction model to improve existing models.",--,Hard prompting in framework
2024-08-25,Graph Intelligence with Large Language Models and Prompt Learning,--,KDD,--,--,," Comprehensive review and analysis of existing methods that integrate LLMs with graphs and prompts, offering substantial potential to enhance graph transfer capabilities across diverse tasks and domains.",--,Survey
2024-06-18,Graph‑Enhanced Prompt Learning for Personalized Review Generation,GRAPA,Data Science and Engineering ,"BERTopic, GPT-2",Text Generation,"GRAPA  further explored the historical user-item interactions and the diverse semantics of reviews. First, GRAPA extracted topic information for each review based on unsupervised clustering to model the diverse review semantics. Second, GRAPA  constructed a user-item bipartite graph with users/items as nodes and reviews as edges, and employed a heterogeneous GNN to explore the high-order historical user-item interactions to generate user/item embeddings. The user/item embeddings generated by GNN and their ID embeddings are used as prompts and fed into PLMs to guide the generation of personalized reviews. Moreover, GRAPA used contrastive learning to alleviate the interference introduced by semantically irrelevant reviews.  ","With the success of PLMs, prompt learning-based approaches have been employed to handle personalized review generation. However, the existing approach neglects the historical user-item interactions as well as the diverse semantics of the reviews (including  semantically relevant reviews and semantically irrelevant reviews).",--,Soft Prompting in framework
2024-06-14,G-SAP: Graph-based Structure-Aware Prompt Learning over Heterogeneous Knowledge for Commonsense Question Answering,G-SAP,ICMR ,"RoBERTa-large, AristoRoBERTa, RoBERTa-xlarge",Commonsense QA,"They propose G-SAP, a graph-based structure-aware prompt learning model for commonsense reasoning, which effectively tackles the over-fitting issue toward textual information and facilitates deep interaction among heterogeneous modalities of knowledge. ","Although fully fine-tuned PLM has achieved remarkable performance in commonsense reasoning, their tendency to excessively prioritize textual information hampers the precise transfer of structural knowledge and undermines interpretability.",--,Prefix tuning in framework
2024-05-13,HetGpt: Harnessing the Power of Prompt Tuning in Pre-Trained Heterogeneous Graph Neural Networks,HetGPT,ACM,"HAN, MAGNN, HGT",Node Classification,Adapting prompt-based learning to heterogeneous graphs for semi-supervised node classification,Misalignment between pre-training and downstream tasks. Scarcity of labeled nodes leading to overfitting. ,Slow training convergence due to recalibrating all pre-trained parameters. Limitations of homogeneous graph prompting techniques when applied to heterogeneous graphs.,"First attempt to adapt the ""pre-train, prompt"" paradigm to heterogeneous graphs"
2023-07-01,HGAPT: Heterogeneous Graph Augmented Prompt Tuning for Low-Resource Fake News Detection,HGAPT,SEKE ,ERNIE,Fake News Detection,HGAPT is a prompt-based framework that leverages heterogeneous graph augmentation and augmented MASK representation making the most with the limited supervised information in low-resource settings,"Detecting low-resource fake news, particularly those pertaining to recent events that have not yet been disseminated by users and are typically in short text, remains challenging due to the lack of training data and prior knowledge. ",--,Discrete prompt in framework
2024-03-25,HGPrompt: Bridging Homogeneous and Heterogeneous Graphs for Few-Shot Prompt Learning,HGPROMPT,AAAI,"GCN, GAT, Simple-H, HAN","Node Classification, Graph Classification","They introduced HGPROMPT, bridging the gap between homogeneous and heterogeneous graphs. proposing dual-template to unify downstream tasks with pretraining irrespective of graph heterogeneity and dual-prompt to narrow the gap caused by feature and heterogeneity variations.","While there has been some early exploration of prompt-based learning on graphs, they primarily deal with homogeneous graphs, ignoring the heterogeneous graphs that are prevalent in downstream applications.",--,Graph Prompting framework
2023-07-25,Instance-Aware Prompt Learning for Language Understanding and Generation,IPL,ACM Transactions on Asian and Low-Resource Language Information Processing,"RoBERTa-large, ALBERT-xxlarge-v2. GPT-2-large","Classification, NLI, QA, Text summarization","They propose an instance-aware prompt learning method named IPL, which learns a unique prompt for each instance. IPL has the potential to be applied to both unidirectional and bidirectional PLMs on both language understanding and generation tasks. IPL outperforms all other methods and obtains the new state-of-the-art using ALBERT-xxlarge-v2.","Prompt learning has emerged as a promising new paradigm, however, the current usage of fixed prompts, whether discrete or continuous, assumes that all samples within a task share the same prompt. This assumption may not hold for tasks with diverse samples that require different prompt information. ",--,Prefix tuning in framework enhancing prompt creation
