Publication Date,Title,Acronym,Venue,Pre-training Objective,Automation Object/Training Strategy,Prompt Length (soft prompts),Prompt Initialization Strategy (soft prompts),PLMs,Datasets,Tasks,Code,Additional Notes
2022-05-27,PPT: Pre-trained Prompt Tuning for Few-shot Learning,PPT,ACL,Cloze,PEFT,100,"Random, embedding of label words, randomly sample words from the vocabulary, randomly sample words from the most frequent 1000 words in the pre-training corpus, randomly sample words from the downstream data","T5-XXL, mT5-XXL, CPM-2","BoolQ, RTE, CB, CCPM, C3, CMNLI, SST-2, SST-5, YahooAnswers, RACE-m, RACE-h, ChnSent, Amazon Reviews, TNews, LCQMC, OCNLI",Classification,https://github.com/thu-coai/PPT,--
2022-06-28,Novelty Controlled Paraphrase Generation with Retrieval Augmented Conditional pt,"RAPT, NC-RAPT",AAAI,Prefix,PEFT,"8, 64, 256",Random,"GPT-2-medium, GPT-2-large","QQP, MSRPC, ParaSCI-ACL",Paraphrase Generation,--,--
2022-07-01,AESPrompt: Self-supervised Constraints for Automated Essay Scoring with Prompt Tuning,AESPrompt,SEKE ,Prefix,PEFT,40,Random,BERT-base-uncased,ASAP,Automated Essay Scoring,--,--
2022-07-01,Enhancing Entity Representations with Prompt Learning for Biomedical Entity Linking,--,IJCAI,Cloze,PEFT,--,Random word in the model's dictionary,"SAPBERT, PubMedBERT","MedMentions, NCBI Disease",Biomedical Entity Linking,https://github.com/TiantianZhu110/BioPRO,--
2022-07-06,Relation Extraction as Open-book Examination: Retrieval-enhanced Prompt Tuning,RetrievalRE,ACM SIGIR,Cloze,CD,--,--,"SpanBERT, KnowBERT, LUKE, MTB ","SemEval 2010 Task 8, DialogRE, TACRED, TACREV, Re-TACRED",Relation Extraction,https://github.com/zjunlp/PromptKG/tree/main/research/RetrievalRE,--
2022-08-14,Towards Unified Conversational Recommender Systems via Knowledge-Enhanced Prompt Learning,UniCRS,KDD,Prefix,PEFT,10 Recommendation; 50 Conversation,Random,DialoGPT-small,"ReDial, INSPIRED",Conversational Recommender Systems,https://github.com/RUCAIBox/UniCRS,--
2022-08-14,Towards Unified Conversational Recommender Systems via Knowledge-Enhanced Prompt Learning,UniCRS,KDD,Prefix,PEFT,10 Recommendation; 50 Conversation,Random,DialoGPT-small,"ReDial, INSPIRED",Conversational Recommender Systems,https://github.com/RUCAIBox/UniCRS,--
2022-11-02,Investigating Prompt Learning for Chinese Few-Shot Text Classification with Pre-Trained Language Models,--,Applied Sciences (Switzerland),Cloze,TD,--,--,"BART, RoBERTa-wwmlarge","AFQMC, OCNLI, TNEWS, INEWS, BQ",Classification,--,--
2022-11-04,Continuous Prompt Tuning Based Textual Entailment Model for E-commerce Entity Typing,CTM,IEEE  Big Data,Cloze,PEFT,"3, 14",Different types of the hypotheses as initialization taken from the model's vocabulary,"BERT, CharacterBERT",Created,Entity Typing,https://github.com/YiboWANG214/CTM,--
2022-11-23,PTR: Prompt Tuning with Rules for Text Classification,PTR,AI Open,Cloze,PEFT,--,Random,RoBERTa-large,"TACRED, TACREV, ReTACRED, FewNERD, OntoNotes, BBN, CLINC150, BANKING77, HWU64","Relation Classification, Entity Typing, Intent Classification",https://github.com/thunlp/PTR,--
2022-12-07,RLPrompt: Optimizing Discrete Text Prompts with Reinforcement Learning,RL-Prompt,EMNLP ,Cloze,TS,--,--,RoBERTa-large,"SST-2, Yelp Polarity, MR, CR, SST-5, Yelp, AG's News, Subj, TREC, Yahoo, DBPedia",Classification,https://github.com/mingkaid/rl-prompt,--
2022-12-07,RLPrompt: Optimizing Discrete Text Prompts with Reinforcement Learning,RL-Prompt,EMNLP ,Prefix,TS,--,--,"distillGPT-2, GPT-2-small, GPT-2-medium, GPT-2-large, GPT-2-xl","Yelp sentiment transfer dataset, Shakespeare authorship transfer",Text Style Transfer,https://github.com/mingkaid/rl-prompt,--
2022-12-07,Coherent Long Text Generation by Contrastive Soft Prompt,CSP,GEM,Prefix,Non PEFT,20,--,GPT-2,"ROCStories, WritingPrompts",Text Generation,--,--
2022-12-11,ATTEMPT: Parameter-Efficient Multi-task Tuning via Attentional Mixtures of Soft Prompts,ATTEMPT,EMNLP,Prefix,PEFT,100,"MNLI source prompt for non-QA tasks or the SQuAD source prompt for QA tasks, the rest initialized with randomly sampled from the vocabulary",T5,"BoolQ, CB, MultiRC, WiC, WSC, RTE, CoLA, STS-B, MRPC, MNLI, QQP, QNLI, SST-2,  NQ,  HQ , NewsQA, SearchQA, SciTail, Yelp-2, WinoGrande, PAWS-Wiki","Paraphrase Detection, Sentiment Analysis, QA, Commonsense Reasoning",https://github.com/AkariAsai/ATTEMPT,--
2022-12-11,DisCup: Discriminator Cooperative Unlikelihood Prompt-tuning for Controllable Text Generation,DisCup,EMNLP,Prefix,PEFT,"10, 12",Random ,"GPT2-large, GPT2-small","PPLM, DART, CTRL, GEDI, DEXPERT",Text Generation,https://github.com/littlehacker26/Discriminator-Cooperative-Unlikelihood-Prompt-Tuning,--
2023-02-27,Making Pre-trained Language Models End-to-end Few-shot Learners with Contrastive Prompt Tuning ,CP-Tuning,WSDM,Cloze,Non PEFT,"1, 2","Pretrained representations of universal task-invariant prompts (e.g.: ""it is"", ""?"")","RoBERTa-large, ALBERT-large ","SST-2 , MR, CR, MRPC, QQP, QNLI, RTE, SUBJ","Sentiment Analysis, Sentence Matching, NLI, Classification",https://github.com/alibaba/EasyNLP?tab=readme-ov-file,--
2023-03-06,A Chinese Few-Shot Text Classification Method Utilizing Improved Prompt Learning and Unlabeled Data,CIPLUD,Applied Sciences (Switzerland),Cloze,Non PEFT,--,--,Ernie 1.0,FewCLUE,Classification,--,--
2023-03-21,Knowledge-Guided Prompt Learning for Few-Shot Text Classification,PTCKT,Electronics (Switzerland),Cloze,CD,--,--,BERT-base-chinese,"NLPCC, THUCNews, AIStudio",Classification,--,--
2023-03-23,Personalized Prompt Learning for Explainable Recommendation,PEPLER-D,ACM Transactions on Information Systems,Prefix,CD,--,--,GPT-2 ,"TripAdvisor,  Amazon,  Yelp",Recommendation systems,--,--
2023-03-23,Personalized Prompt Learning for Explainable Recommendation,PEPLER,ACM Transactions on Information Systems,Prefix,Non PEFT,2,Two types of ID (user and item) as vector token embeddings in their respective embedding space plus randomly initialized continuous embeddings,GPT-2 ,"TripAdvisor, Amazon, Yelp",Recommendation Systems,--,--
2023-03-28,Adaptive Prompt Learning-Based Few-Shot Sentiment Analysis,AP,Neural Processing Letters,Cloze,Both,"2, 4",--,RoBERTa-wwm-ext,EPRSTMT ,Sentiment Analysis,https://link.springer.com/content/pdf/10.1007/s11063-023-11259-4.pdf?utm_source=scopus&getft_integrator=scopus,--
2023-04-28,Decomposed Two-Stage Prompt Learning for Few-Shot Named Entity Recognition,--,Information (Switzerland),Cloze,CD,--,--,BERT-base-cased,"CoNLL2003, OntoNote5.0",NER,--,--
2023-05-02,"GrIPS: Gradient-free, Edit-based Instruction Search for Prompting Large Language Models",GRIPS,EACL,Prefix,TD,--,--,"GPT-2 XL, InstructGPT babbage, curie",NATURAL-INSTRUCTIONS,Classification,https://github.com/archiki/GrIPS,--
2023-05-15,Automating Method Naming with Context-Aware Prompt-Tuning,AUMENA,IEEE/ACM ICPC,Cloze,CD,--,--,CodeT5,"Java-small, Java-med, Java-large",Method Name Recommendation,--,--
2023-05-19,Multi-Stage Prompt Tuning for Political Perspective Detection in Low-Resource Settings,--,Applied Sciences (Switzerland),Cloze,PEFT,30 domain-specific; 40 task-specific,--,RoBERTa-large,"Created, SemEval, AllSides",Political Bias Detection,available upon request,--
2023-06-04,FedPrompt: Communication-Efficient and Privacy-Preserving Prompt Tuning in Federated Learning,FedPrompt,ICASSP ,Cloze,PEFT,"1, 5, 10, 20",--,"BERT-base, RoBERTa, T5","SST2, IMDB, OffensEval, Twitter, Enron, Lingspam, QNLI, RTE","Sentiment Analysis, Toxicity Detection, Spam Detection, Classification",--,--
2023-06-04,Knowledge-Augmented Frame Semantic Parsing with Hybrid Prompt-Tuning,KAF-SPA,ICASSP ,Cloze,Non PEFT,--,Generated from a knowledge extracted module,T5-base,FrameNet1.5 and FrameNet1.7,Semantic Parsing ,--,--
2023-06-12,MedKPL: A heterogeneous knowledge enhanced prompt learning framework for transferable diagnosis ,--,Journal of Biomedical Informatics,Cloze,CD,--,--,BERT-base-chinese,"Pediatric Patient EHR, Adult-EMR",Classification,--,--
2023-06-26,Zero-Shot Cross-Lingual Event Argument Extraction with Language-Oriented Prefix-Tuning,LAPIN ,AAAI,Cloze,Non PEFT,30,--,mT5,"ACE-2005, ERE ","Event Argument Extraction, Recommendation Systems, Dialogue Systems, Summarization",--,--
2023-07-01,KLAPrompt: Infusing Semantic Knowledge into Pre-trained Language Models by Long-answer Prompt Learning,KLAPrompt,SEKE ,Cloze,Non PEFT,"1, 2, 3, 4, 5",Random,"BERT, RoBERTa, MacBERT","WSP, STS-B, Book Review, XNLI, Chnsenticorp, IFLYTEK","Classification, Semantic Textual Similarity",--,--
2023-07-09,ETHICIST: Targeted Training Data Extraction Through Loss Smoothed Soft Prompting and Calibrated Confidence Estimation,ETHICIST,ACL ,Prefix,PEFT,100,--,GPT-Neo 1.3B,The Pile,Data extraction,https://github.com/thu-coai/Targeted-Data-Extraction,--
2023-07-14,Emotion Classification on Code-mixed Text Messages via Soft Prompt Tuning,--,WASSA ,Cloze,PEFT,"(0,1); (0,3); (0,5) (0,6) (1,6); (3,6); (5,6). The first number of each couple represents the soft token prepended to the input while the second number the soft tokens after the input but before the mask",--,XLM-RoBERTa,CM-MEC-21,Emotion Classification,--,--
2023-07-19,A Unified Generative Retriever for Knowledge-Intensive Language Tasks via Prompt Learning,UGR,SIGIR,Prefix,Non PEFT,6,--,BART,KILT,Information Retrieval,https://github.com/ict-bigdatalab/UGR,--
2023-07-19,Adversarial Meta Prompt Tuning for Open Compound Domain Adaptive Intent Detection,AMPT,SIGIR,Cloze,Non PEFT,--,--,BERT-base,"CLINC150, HWU64",Intent Detection,https://github.com/calubkk/AMPT,--
2023-07-19,Prompt Learning for News Recommendation,Prompt4NR,SIGIR,Cloze,Non PEFT,"1, 2, 3, 4, 5",Random,"BERT-base, RoBERTa, DeBerta",MIND,News Recommendation,https://github.com/resistzzz/Prompt4NR,--
2023-07-19,Soft Prompt Decoding for Multilingual Dense Retrieval,KD-SPD,SIGIR,Prefix,Non PEFT,30,--,"XLM-R , mBERT","CLEF, mTREC, LAReQA, CCAligned, mMARCO",Multilingual Information Retrieval ,--,--
2023-07-19,VPN: Variation on Prompt Tuning for Named-Entity Recognition,VPN,Applied Sciences (Switzerland),Other,PEFT,--,--,BERT-base-chinese,"OntoNotes 4.0, MSRA, Weibo NER",NER,https://github.com/huniu20/vpn,--
2023-07-19,A Unified Generative Retriever for Knowledge-Intensive Language Tasks via Prompt Learning,UGR,SIGIR,Prefix,Non PEFT,6,"Embeddings of words: “document”, “passage”, “sentence”, and “entity”",BART,KILT,Information Retrieval,https://github.com/ict-bigdatalab/UGR,--
2023-07-19,Prompt Learning for News Recommendation,Prompt4NR,SIGIR,Cloze,Non PEFT,"1, 2, 3, 4, 5",Random,"BERT-base, RoBerta and DeBerta",MIND,News Recommendation,https://github.com/resistzzz/Prompt4NR,--
2023-07-25,Few-shot Sentiment Analysis Based on Adaptive Prompt Learning and Contrastive Learning,APRD,Information Technology and Control,Cloze,Both,"2, 4",--,ALBERT-large,EPRSTMT,Sentiment Analysis,--,--
2023-07-25,Instance-Aware Prompt Learning for Language Understanding and Generation,IPL,ACM Transactions on Asian and Low-Resource Language Information Processing,Prefix,Non PEFT,"16, 20",Random,"RoBERTa-large, ALBERT-xxlarge-v2. GPT-2-large","SuperGLUE, SAMsum, FewGLUE","Classification, NLI, QA, Text summarization",https://github.com/jinfeihu-stan/IPL,--
2023-07-30,Prompt Learning with Structured Semantic Knowledge Makes Pre-Trained Language Models Better,KLAPrompt,Electronics (Switzerland),Cloze,Non PEFT,"1, 2, 3, 4, 5",Random,"BERT, RoBERTa, MacBERT, MC-BERT, MedBERT, SMedBERT","STS-B, Book Review, XNLI, Chnsenticorp, IFLYTEK, CMeIE, CHIP-CDN, CHIP-CTC, KUAKE-QQR, KUAKE-QTR","Relation Extraction, Text Classification, Sentence Similarity Estimation",--,--
2023-08-06,APICom: Automatic API Completion via Prompt Learning and Adversarial Training-based Data Augmentation,APICom,ACM Internetware,Cloze,CD,--,--,CodeT5,BIKER-ASE2018,Recommendation Systems,--,--
2023-08-09,Simple Knowledge Graph Completion Model Based on Differential Negative Sampling and Prompt Learning,--,Information (Switzerland),Prefix,CD,--,--,T5-base,"WN18RR, FB15k-237",Knowledge Graph Completion,--,--
2023-08-09,Research on the Application of Prompt Learning Pretrained  Language Model in Machine Translation Task with Reinforcement Learning,--,Electronics (Switzerland),Prefix,TD,--,--,GPT-2,WMT 2014 English–German,Machine Translation,--,--
2023-08-19,One Model for All Domains: Collaborative Domain-Prefix Tuning for Cross-Domain NER,CP-NER,IJCAI ,Prefix,PEFT,--,--,T5,"CrossNER, CoNLL, MIT Restaurant, MIT Movie",Cross-domain NER,https://github.com/zjunlp/DeepKE/tree/main/example/ner/cross,--
2023-08-22,Generating Chinese Event Extraction Method Based on ChatGPT and Prompt Learning,CPEE,Applied Sciences (Switzerland),Prefix,TD,--,--,BART,"DuEE1.0, Title2Event",Event Detection,--,--
2023-08-26,"GPT Understands, Too",P-Tuning,AI Open,Cloze,Non PEFT,"1, 2, 4, 8 ",--,"BERT-base, BERT-large","LAMA,  SuperGLUE",Knowledge Probing,--,--
2023-09-02,Prompt-Learning for Cross-Lingual Relation Extraction,Prompt-XRE,IJCNN ,Cloze,Non PEFT,"1, 2","Use the [MASK] token as a structural separator, not trainable",mBART,ACE05,Cross-Lingual Relation Extraction,--,--
2023-09-02,Prompt-Learning for Cross-Lingual Relation Extraction,Prompt-XRE,IJCNN ,Cloze,Non PEFT,"1, 2","Use the [MASK] token as a structural separator, not trainable",mBART,ACE05,Cross-Lingual Relation Extraction,--,--
2023-09-02,ContrastNER: Contrastive-based Prompt Tuning for Few-shot NER,ContrastNER,IEEE COMPSAC,Cloze,PEFT,--,--,RoBERTa ,"CoNLL03, MIT Restaurant Review, MIT Movie Review, ATIS",NER,--,--
2023-09-20,Parameter-Efficient Low-Resource Dialogue State Tracking by Prompt Tuning,--,INTERSPEECH,Prefix,PEFT,--,Pre-trained token embeddings to initialize the soft prompt token embeddings,GPT-2 medium,MultiWOZ 2.0,Dialogue State Tracking,--,--
2023-09-28,MsPrompt: Multi-step prompt learning for debiasing few-shot event detection,MsPrompt,Information Processing and Management,Cloze,CD,--,--,BERT-base-uncased,"ACE-2005, FewEvent",Event Detection,--,--
2023-10-20,Soft Prompt Enhanced Joint Learning for Cross-domain Aspect-based Sentiment Analysis,--,Intelligent Systems with Applications,Cloze,PEFT,"1, 2, 3, 4, 5, 6, 7, 8",--,T5-base,"Amazon Review, CNET, SemEval, Review Portals",Sentiment Analysis,--,--
2023-11-03,Knowledge Prompt-tuning for Sequential Recommendation,KP4SR,ACM MM,Cloze,CD,--,--,T5,"Amazon book,  LFM-1b,  Movielens-10M",Recommendation Systems,https://github.com/zhaijianyang/KP4SR,--
2023-12-11,Contrastive GP-tuning for Cross-domain Recommendation,PGPRec,ACM Transactions on Information Systems,Node,PEFT,"1, 3, 5, 7, 9",Random,LightGCN,Amazon Review,Recommendation Systems,--,--
2024-01-09,Domain-Enhanced Prompt Learning for Chinese Implicit Hate Speech Detection,DePL,IEEE Access,Cloze,PEFT,1,"Random, encoding vector of ‘‘please’’",BERT-base,MCIHD,Classification,--,--
2024-02-04,SPeC: A Soft Prompt-Based Calibration on Performance Variability of Large Language Model in Clinical Notes Summarization,SPeC,Journal of Biomedical Informatics,Prefix,PEFT,--,Random word in the model's dictionary,"Flan-T5, BART,  Pegasus-xsum",MIMIC-CXR,Summarization,--,--
2024-03-21,Prompt Optimization in Large Language Models,HPT,Mathematics,Cloze,TD,--,--,"GPT-3, RoBERTa-large","MNLI, QQP, SST-2, MRPC, QNLI, RTE","Hypothesis Validity,  Semantic Equivalence, Sentiment Prediction, Semantic Textual Similarity, NLI",--,--
2024-03-25,Prompt to Transfer: Sim-to-Real Transfer for Traffc Signal Control with Prompt Learning,PromptGAT,AAAi,Cloze,CD,--,--,GPT-4,"Cityfow, SUMO",Traffc Signal Control ,https://github.com/DaRL-LibSignal/PromptGAT,--
2024-03-25,HGPrompt: Bridging Homogeneous and Heterogeneous Graphs for Few-Shot Prompt Learning,HGPROMPT,AAAI,Node,PEFT,|A| with A being the set of nodes in the graph,--,"GCN, GAT, Simple-H, HAN","ACM, DBLP, Freebase","Node Classification, Graph Classification",--,--
2024-03-25,On Unsupervised Domain Adaptation: Pseudo Label Guided Mixup for Adversarial Prompt Tuning,PL-Mix,AAAI,Cloze,PEFT,"1, 2, 3, 4, 5",Random,"BERT-base-uncased, RoBERTa-base",Amazon Reviews ,Classification,https://github.com/fskong/PL-Mix,--
2024-04-04,ProRLearn: boosting prompt tuning-based vulnerability detection by reinforcement learning,ProRLearn,ASE,Cloze,Non PEFT,4,--,CodeBERT,"FFMPeg+Qemu, Reveal, Big-Vul",Code Vulnerability Detection,https://github.com/ProRLearn/ProRLearn001,--
2024-04-09,Affective Prompt-Tuning-Based Language Model for Semantic Based Emotional Text Generation ,APT-LM,IJDWM,Prefix,PEFT,"1, 10, 20","Emotional attributes, input-related, embeddings",GPT-2-Medium,"GoEmotions, ISEAR",Classification,--,--
2024-04-11,Enhancing Zero-Shot Stance Detection with Contrastive and Prompt Learning,EZSD-CP,Entropy,Cloze,Non PEFT,--,--,"BERT-base, RoBERTa","VAST, SEM16",Stance Detection,--,--
2024-04-18,Knowledge-Enhanced Prompt Learning for Few-Shot Text Classification,SKPT,Big Data and Cognitive Computing,Cloze,CD,--,--,RoBERTa-large,"AG News, DBpedia",Classification,--,--
2024-04-19,ConsPrompt: Exploiting Contrastive Samples for Fewshot Prompt Learning,ConsPrompt,ICASSP,Cloze,Non PEFT,--,--,RoBERTa-large ,"TREC, SST-2, SST-5, QNLI, SNLI","Classification, Text Entailment",https://github.com/Nagin-Kim/cosprompt,--
2024-05-13,HetGpt: Harnessing the Power of Prompt Tuning in Pre-Trained Heterogeneous Graph Neural Networks,HetGPT,ACM,Node,PEFT,"1, 5, 10, 15, 20",Kaiming initialization,"HAN, MAGNN, HGT","ACM, DBLP, IMDB",Node Classification,--,--
2024-05-17,Adapting LLMs for Efficient Context Processing through Soft Prompt Compression,SPC-LLM,ACM CMNM,Prefix,Non PEFT,--,--,Claude2,"CNN/Daily Mail, SST-2, AG News, SQuAD v2.0","Summarization, QA, Sentiment Analysis, Classification",--,--
2024-05-17,Can we Soft Prompt LLMs for Graph Learning Tasks?,GraphPrompter,WWW,Prefix,PEFT,--,--,LLAMA2-7B,"Cora, Citeseer, Pubmed, Ogbn-arxiv, Ogbn-products","Node Classification, Link Prediction",https://github.com/franciscoliu/graphprompter,--
2024-05-24,KBPT: knowledge-based prompt tuning for zero-shot relation triplet extraction,KBPT,PeerJ Computer Science,Cloze,Non PEFT,4,Words with relational semantics generated from the relation label,"BERT-base, BERT-large","FewRel, NYT, TACRED-Revisit, Wiki-ZSL",Information Extraction,https://github.com/Phevos75/KBPT,--
2024-06-14,G-SAP: Graph-based Structure-Aware Prompt Learning over Heterogeneous Knowledge for Commonsense Question Answering,G-SAP,ICMR ,Prefix,PEFT,"4, 8, 12, 16, 20. 24",They used the embeddings of the entities and relations (extracted from a GNN),"RoBERTa-large, AristoRoBERTa, RoBERTa-xlarge","Commonsense-QA, OpenbookQA, PIQ",Commonsense QA,--,--
2024-06-18,Graph‑Enhanced Prompt Learning for Personalized Review Generation,GRAPA,Data Science and Engineering ,Prefix,Non PEFT,4,Random,"BERTopic, GPT-2","TripAdvisor, Amazon, Yelp",Text Generation,--,--
2024-06-18,Multi-Relation Extraction for Cybersecurity Based on Ontology Rule-Enhanced Prompt Learning,--,Electronics (Switzerland),Cloze,Non PEFT,3,Random,BERT ,"TACRED, ReTACRED, Created",NER,--,--
2024-06-21,A Rumors Detection Method Using T5-Based Prompt Learning,PLRD,IJDWM,Cloze,TD,--,--,T5,"X, Weibo ",Rumor Information Detection,--,--
2024-07-10,Meta Soft Prompting and Learning,--,APSIPA,Cloze,PEFT,"2, 20",Random,BERT,"Amazon Review, FDU-MTL ",Classification,https://github.com/NYCU-MLLab/Domain-Agnostic-Soft-Prompt,--
2024-08-12,Prompt Tuning on Graph-Augmented Low-Resource Text Classification,G2P2,IEEE Transactions on Knowledge and Data Engineering,Cloze,PEFT,"2, 4, 8, 16, 32",Graph embeddings,"BERT, RoBERTa","Cora, Amazon Reviews",Classification,--,--
2024-08-23,Prompt learning for metonymy resolution: Enhancing performance with internal prior knowledge of pre-trained language models,PromptMR-CTC,Knowledge-Based Systems,Cloze,Non PEFT,7,"Random initialization, PLM word embedding initialization",T5-base,"SemEval, ReLocaR, CoNLL",Metonymy Resolution,https://github.com/albert-jin/PromptTuning2MetonymyResolution,--
2024-10-14,Prompt Tuning for Item Cold-start Recommendation,PROMO,ACM,Cloze,PEFT,,,SASRec ,"MovieLens 100K, MovieLens 1M, KuaiRand, TMall",Item recommendation,https://github.com/PROMOREC/PROMO,--
2024-10-14,PromSec: Prompt Optimization for Secure Generation of Functional Source Code with Large Language Models (LLMs),PromSec,CCS,Prefix,PEFT,--,Manually  crafted,"GPT-3.5 Turbo, GPT-4, CodeLlama-70B-Instruct, Bard","MITRE, CodeQL, Created",Secure code generation,https://github.com/mahmoudkanazzal/PromSec,--
2024-10-23,Knowledge-injected Prompt Learning for Chinese Biomedical Entity Normalization,PL-Knowledge,ACM Transactions on Computer Systems,Cloze,Non PEFT,2,Random,MC-BERT,CHIP 2019,Biomedical Entity Normalization,--,--
2024-11-01,RPEPL: Tibetan Sentiment Analysis Based on Relative Position Encoding and Prompt Learning,RPEPL,ACM,Cloze,PEFT,15,--,"Tibetan-Roberta-Base, Tibetan-Alpaca-7B","TUSA, TNEC",Sentiment Analysis,--,--
2022-02-19,Commonsense Knowledge-Aware Prompt Tuning for Few-Shot NOTA Relation Classification,CKPT,Applied Sciences,Cloze,HC,--,--,BERT,"FewRel 2.0, Few-shot TACRED",Relation Classification,--,--
2022-05-27,Prompt Tuning for Discriminative Pre-trained Language Models,DPT,ACL,Cloze,HC,--,--,ELECTRA,"SST-2, SST-5, TREC, AGNews, QUOREF","Classification, QA",https://github.com/thunlp/DPT,--
2022-06-01,Chinese Spam Detection Based on Prompt Tuning,--,SEKE ,Cloze,HC,--,--,ERNIE,"Trec06, microblogPCU",Spam Detection,--,--
2022-07-01,CUP: Curriculum Learning based Prompt Tuning for Implicit Event Argument Extraction,CUP,IJCAI,Prefix,HC,--,--,BART,"RAMS, WikiEvents",Argument Extraction,https://github.com/linmou/CUP,--
2022-07-01,Enhancing Entity Representations with Prompt Learning for Biomedical Entity Linking,--,IJCAI,Cloze,HC,--,--,"SAPBERT, PubMedBERT","MedMentions, NCBI Disease",Entity Linking,https://github.com/TiantianZhu110/BioPRO,--
2022-09-08,Chemical-Protein Relation Extraction with Pre-trained Prompt Tuning,--,IEEE ICHI ,Cloze,HC,--,--,"BERT, BioBERT, BlueBERT",BioCreative VI CHEMPROT,Relation Extraction,--,--
2022-10-10,PRCBERT: Prompt Learning for Requirement Classification using BERT-based Pretrained Language Models,PRCBERT,IEEE/ACM ASE,Cloze,HC,--,--,"BERT-base, BERT-large, RoBERTa-base, RoBERTa-large","PROMISE, NFR-Review, NFR-SO",Classification,--,--
2022-10-14,Prompt Tuning for Multi-Label Text Classification: How to Link Exercises to Knowledge Concepts?,PTMLTC,Applied Sciences (Switzerland),Cloze,HC,--,--,"TextCNN, TagBert, BertFGM",Exercises–Concepts dataset of the Data Structure course,Classification,--,--
